claim_id,make,model,series,year_from,year_to,engine_trim,fuel,stop_start,battery_type,source_code,standard_code,terminal_layout,cca_min,source_guide,source_year,confidence,notes
SC2019-0001,ALFA ROMEO,145,,1994,,,,,,MF66,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0002,ALFA ROMEO,146,,1994,,,,,,MF66,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0003,ALFA ROMEO,166,,2000,,,,,,MF66,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0004,ALFA ROMEO,"147 - 1.9 JTD, 2.0 Lt TS",,2007,2007,,,,,MF55H,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0005,ALFA ROMEO,"147 - 1.9 JTD, 2.0 Lt TS, 3.2 GTA",,2005,2006,,,,,MF55,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0006,ALFA ROMEO,147 - 1.9L GTA Diesel,,2007,2008,,,,,MF55,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0007,ALFA ROMEO,147 - 1.9L JT,,2004,,,,,,MF55H,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0008,ALFA ROMEO,147 - 2.0 Twin Spark,,2001,2004,,,,,MF55,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0009,ALFA ROMEO,"147 - 2.0L TS, 147 3.2L GTA",,2004,,,,,,MF55,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0010,ALFA ROMEO,147 - GTA,,2001,2006,,,,,MF55,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0011,ALFA ROMEO,"155 - 1.7L, 1.8L, 2.0L, V6",,1992,,,,,,MF55,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0012,ALFA ROMEO,156 - 1.9L JTD,,2007,,,,,,MF77,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0013,ALFA ROMEO,"156 - 2.0Lt JTS, Salsespeed",,2004,,,,,,MF55,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0014,ALFA ROMEO,"156 - 2.0L, 2.2I Manual, 2.4L JTD, 3.2L V6",,2007,,,,,,MF77,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0015,ALFA ROMEO,156 - All V6 Engines,,2005,2005,,,,,MF66H,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0016,ALFA ROMEO,156 - Twin Spark,,2000,2003,,,,,MF55,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0017,ALFA ROMEO,"159 - 3.2Lt JTD, 159 Diesel",,2006,,,,,,MF77H,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0018,ALFA ROMEO,159 - 1.9Lt JTD,,2006,,,,,,MF77H,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0019,ALFA ROMEO,159 - 2.2Lt Manual and Selespeed,,2006,,,,,,MF77H,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0020,ALFA ROMEO,159 - 2.4Lt JTD,,2006,,,,,,MF77H,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0021,ALFA ROMEO,164 - Diesel,,1988,,,,,,MF88H,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0022,ALFA ROMEO,164 - GTV,,1989,1999,,,,,MF55,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0023,ALFA ROMEO,164 - GTV6,,1989,1995,,,,,MF66H,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0024,ALFA ROMEO,"164 - Petrol 1.8L, 2.0L, V6 Turbo",,1988,,,,,,MF66,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0025,ALFA ROMEO,166 - 3.0L V6 24V Turbo,,2001,,,,,,MF88H,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0026,ALFA ROMEO,"33 - 1.3L, 1.5L, 1.7L, IE, Guilletta 1.8L",,1990,,,,,,MF55,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0027,ALFA ROMEO,75 - 3.0Lt V6,,1984,,,,,,MF66,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0028,ALFA ROMEO,"Alfa 75, 75TS, 75 V6, 90",,1985,,,,,,MF66,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0029,ALFA ROMEO,Alfasud,,1974,1992,,,,,MF44,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0030,ALFA ROMEO,Alfetta,,1974,1992,,,,,MF44,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0031,ALFA ROMEO,Brera/Nuova Spider,,2006,2007,,,,,MF77,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0032,ALFA ROMEO,Brera/Nuova Spider 2.2Lt Manual and Seles,,2006,2007,,,,,MF77,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0033,ALFA ROMEO,Brera/Nuova Spider V6 Manual and Auto,,2006,2007,,,,,MF77,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0034,ALFA ROMEO,GT - 2.0 & V6,,2004,2006,,,,,MF55,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0035,ALFA ROMEO,GT - 2.0Lt,,2004,2009,,,,,MF66,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0036,ALFA ROMEO,GT - 3.2 V6,,2004,2006,,,,,MF55,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0037,ALFA ROMEO,GT - Blackline,,2008,2008,,,,,MF66,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0038,ALFA ROMEO,GT - V6,,2007,2007,,,,,MF55H,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0039,ALFA ROMEO,GTV,,1980,1999,,,,,MF55,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0040,ALFA ROMEO,"GTV - 2.0, 3.0, Twin Spark",,2000,,,,,,MF66,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0041,ALFA ROMEO,"GTV - 2.0L, 3.0L, V6, 3.2L V6",,1998,,,,,,MF66,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0042,ALFA ROMEO,GTV - V6,,2004,2004,,,,,MF66,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0043,ALFA ROMEO,Guilietta,,1974,1992,,,,,MF44,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0044,ALFA ROMEO,Guilietta 1.4 Multi Air Turbo Petrol with Start & Stop,,2011,,,,,,MF55HSS,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0045,ALFA ROMEO,Guilietta 1.8 TB GDI Petrol Turbo without Start & Stop,,2011,,,,,,MF55H,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0046,ALFA ROMEO,Mito,,2009,,,,,,MF66,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0047,ALFA ROMEO,Mito QV,,2011,,,,,,MF55H,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0048,ALFA ROMEO,Mito TCT,,2011,,,,,,MF55H,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0049,ALFA ROMEO,"Mito 0.9T, 1.4T Start Stop",,2013,,,,,,MF55HSS,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0050,ALFA ROMEO,Sportiva,,1982,,,,,,MF66,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0051,ALFA ROMEO,Sprint,,1974,1992,,,,,MF44,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0052,ALFA ROMEO,"Sprint - Coupe, Veloce",,1977,1987,,,,,MF55,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0053,ALFA ROMEO,Spyder,,1992,2000,,,,,MF66,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0054,ALFA ROMEO,Spyder,,2006,,,,,,MF77,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0055,ALFA ROMEO,"Spyder - Twin Spark 2.0L, 3.0L, 3.2L V6 24V",,2000,,,,,,MF55,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0056,ALFA ROMEO,"Twin Spark 2.0L, 2.5L V6, 3.0L V6",,1988,1997,,,,,MF44,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0057,ALFA ROMEO,Zagatto Coupe SZ,,1990,1992,,,,,MF55,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0058,ALFA ROMEO,Zagatto Spyder RZ,,1993,,,,,,MF66,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0059,ASIA,Ceres Rocsta,,1992,1993,,,,,MF51,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0060,ASIA,Ceres Diesel,,1994,,,,,,MF95D31R,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0061,ASIA,Rocsta,,1994,,,,,,MF75D23L,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0062,ASTON MARTIN,All Models,,1957,1987,,,,,MF95D31R,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0063,ASTON MARTIN,DB7,,1995,2005,,,,,MF88,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0064,ASTON MARTIN,Rapide V12,,2009,,,,,,MF88HSS,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0065,ASTON MARTIN,Vanquish,,2001,2005,,,,,MF88,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0066,ASTON MARTIN,Vanquish V12,,2012,,,,,,MF88HSS,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0067,ASTON MARTIN,Virage V12,,2011,2013,,,,,MF88HSS,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0068,ASTON MARTIN,Zagato V12,,2011,,,,,,MF88HSS,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0069,AUDI,701,,1984,,,,,,MF66,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0070,AUDI,100 6CYL,,1994,,,,,,MF66,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0071,AUDI,2.0E,,1986,1994,,,,,MF66,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0072,AUDI,2.3E,,1986,1994,,,,,MF66,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0073,AUDI,5 + 5,,1979,,,,,,MF66,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0074,AUDI,80 - 4 cyl,,1994,,,,,,MF55,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0075,AUDI,80 - 6 cyl,,1994,,,,,,MF66,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0076,AUDI,"90 - Quattro, Sport",,1989,1991,,,,,MF66,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0077,AUDI,"A1, A1 Sportback",,2011,,,,,,MF55,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0078,AUDI,"A1 Petrol 1.2T, 1.4T Ambition, Attraction, Sport",,2011,2015,,,,,MF66HSS,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0079,AUDI,A1 Petrol 1.4TSC Sport,,2011,2015,,,,,MF66HSS,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0080,AUDI,A1 Petrol 1.0T,,2015,,,,,,MF55HSS,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0081,AUDI,A1 Petrol 1.8T S-Line,,2015,,,,,,MF66HSS,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0082,AUDI,A3,,1997,1998,,,,,MF55,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0083,AUDI,A3 - 1.6 Cabriolet,,2004,2009,,,,,MF66,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0084,AUDI,"A3 - 1.6 Hatchback, 1.6 Sportback",,2004,2009,,,,,MF55,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0085,AUDI,"A3 - 1.6, 1.8",,2001,,,,,,MF44,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0086,AUDI,A3 - 1.8 & 2.0L TFSI Cabriolet,,2006,2007,,,,,MF66,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0087,AUDI,"A3 - 1.8 Turbo, Sportback",,2004,2009,,,,,MF55,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0088,AUDI,"A3 - 1.9, 2.0 TDI Sportback",,2004,2009,,,,,MF66,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0089,AUDI,A3 - 2.0 TFSI Quattro Sportback,,2004,2009,,,,,MF55,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0090,AUDI,A3 - Cabriolet S Line Sports,,2006,2007,,,,,MF77,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0091,AUDI,"A3 -  Diesel 1.6DT, 2.0DT",,2013,,,,,,MF77HSS,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0092,AUDI,"A3 -  Petrol 1.4T, 1.8T",,2013,,,,,,MF77HSS,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0093,AUDI,A4 - 1.8 & 2.0 TFSI Cabriolet,,2006,2009,,,,,MF77,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0094,AUDI,"A4 - 1.8 TFSI, 2.0 TFSI",,2005,2009,,,,,MF77,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0095,AUDI,"A4 - 1.8,1.8 Turbo, 1.8T Avant",,1995,2005,,,,,MF55,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0096,AUDI,"A4 - 2.0 TDI, 2.0 TFSI Quattro",,2005,2009,,,,,MF77,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0097,AUDI,A4 - 2.7 TDI V6,,2008,2009,,,,,MF88H,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0098,AUDI,"A4 - 2.7 TDI V6, 3.0 TDI Quattro V6",,2005,2007,,,,,MF77,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0099,AUDI,"A4 - 3.0 TDI Quattro V6, 3.2 FSI Quattro V6",,2008,2009,,,,,MF88H,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0100,AUDI,A4 - 3.2 FSI Quattro V6,,2005,2007,,,,,MF77,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0101,AUDI,A4 - 3.2 FSI Quattro V6 Cabriolet,,2006,2009,,,,,MF88H,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0102,AUDI,"A4 - Avant, Sedan, Cabriolet",,2001,,,,,,MF66,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0103,AUDI,"A4 - Multitronic, Tiptronic",,2001,2005,,,,,MF77,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0104,AUDI,A4 - Turbo,,2001,2001,,,,,MF77,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0105,AUDI,A4 1.8T Avant Quattro,,1997,2002,,,,,MF66,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0106,AUDI,A4 1.8T Quattro,,1994,2000,,,,,MF66,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0107,AUDI,"A4 1.8T, 1.8T Avant, 1.8T Quattro",,2002,2004,,,,,MF44,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0108,AUDI,A4 2.6L V6 Sedan,,1996,1996,,,,,MF66,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0109,AUDI,A4 Diesel,,2014,2017,,,,,MF66,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0110,AUDI,A4 Diesel 2.0DT. 3.0DT,,2012,,,,,,MF88HSS,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0111,AUDI,A4 Allroad Quattro 2.0DT,,2012,,,,,,MF88HSS,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0112,AUDI,"A4 Avant Diesel 2.0DT, 3.0DT",,2012,,,,,,MF88HSS,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0113,AUDI,"A4 Avant Petrol 1.8T, 2.0T",,2012,,,,,,MF77HSS,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0114,AUDI,"A5 - 2.0 TFSI Quattro Coupe, 3.2 FSI Quattro V6 Coupe",,2007,2009,,,,,MF88H,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0115,AUDI,A5 - 3.0 TDI Quattro V6 Coupe,,2007,2009,,,,,MF88H,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0116,AUDI,A5 Diesel,,2012,,,,,,MF88HSS,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0117,AUDI,A5 - COUPE,,2007,,,,,,MF88,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0118,AUDI,A6,,1997,2009,,,,,MF88,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
SC2019-0119,AUDI,A6,,1997,2009,,,,,MF88,,,,SuperCharge,2019,guide,open-ended year ranges from 2019 guide
