model,section,numbers,price_ex_gst,rrp
12N24-3 / 4 SMF,Automotive Series,12 24 350 40 197 130 185,61.80,131.56
NS40Z / ZA / ZL / ZAL SMF,Automotive Series,40 420 63 193 127 220,64.51,144.09
NS40SNLSMF,Automotive Series,40 420 63 197 136 219,64.51,144.09
NS60 / NS60L SMF,Automotive Series,60 60 465 85 237 128 221,82.76,182.98
NS60A / NS60AL SMF,Automotive Series,60 60 465 85 237 128 221,82.76,182.98
NS60SNLSMF,Automotive Series,60 465 85 238 136 221,82.76,182.98
NS50 / NS50LA SMF,Automotive Series,50 50 575 95 230 173 204,88.52,212.10
NS50Z / NS50ZLA SMF,Automotive Series,50 50 620 95 230 173 204,95.04,224.17
NS50P / PLA / PX / PLXA SMF,Automotive Series,50 660 95 230 173 204,99.51,212.10
55D23L / 55D23R SMF,Automotive Series,55 23 55 23 620 110 231 172 220,93.91,224.17
55D23LX / 55D23RX SMF,Automotive Series,55 23 55 23 660 115 231 173 219,105.09,240.18
DIN44SMF,Power Crank European Series,44 480 75 207 174 174,82.12,205.35
DIN44H / HR SMF,Power Crank European Series,44 500 83 207 175 190,82.12,205.35
DIN55 / R SMF,Power Crank European Series,55 600 95 243 175 175,99.78,223.57
DIN55H / HR SMF,Power Crank European Series,55 625 115 242 175 190,99.78,247.05
DIN66 / R SMF,Power Crank European Series,66 680 120 276 174 174,121.77,281.37
DIN66H / HR SMF,Power Crank European Series,66 700 130 277 175 190,121.77,285.94
DIN77SMF,Power Crank European Series,77 780 155 314 174 174,138.47,314.60
DIN77H / HR SMF,Power Crank European Series,77 800 170 314 174 190,138.47,331.70
DIN88SMF,Power Crank European Series,88 880 155 352 174 174,141.55,332.33
DIN100SMF,Power Crank European Series,100 900 190 352 174 189,134.27,378.61
DIN110SMF,Power Crank European Series,110 1050 205 393 175 190,181.95,417.56
NS70 / L SMF,Equipment Series,70 675 130 259 174 220,114.46,223.08
N70ZZ / ZZL SMF,Equipment Series,70 750 160 303 173 220,126.72,281.37
N70ZZX / ZZLX SMF,Equipment Series,70 800 303 173 220,126.72,304.25
NX120-7 / -7L SMF,Equipment Series,120 850 170 303 173 220,126.72,304.25
N100 / 100L SMF,Equipment Series,100 100 900 175 404 172 229,158.36,393.79
N120 / 120R SMF,Equipment Series,120 120 1050 250 504 182 231,206.55,469.88
N150 / 150R SMF,Equipment Series,150 150 1150 320 504 220 232,257.03,589.27
N200 / 200R SMF,Equipment Series,200 200 1250 470 504 263 237,296.94,713.76
N94SMF,Equipment Series,94 1150 430 503 216 215,250.29,609.60
31A / AL / AT SMF,Equipment Series,31 1100 195 330 172 237,164.98,368.38
EXSNS70 / L SMF,Power Crank Truck EXS Series,70 710 259 173 219,114.46,286.74
EXSXNX120-7 / 7L SMF,Power Crank Truck EXS Series,120 1000 305 172 221,157.25,345.39
EXSN100 / L SMF,Power Crank Truck EXS Series,100 950 404 171 229,184.25,406.36
EXSN120 / R SMF,Power Crank Truck EXS Series,120 1100 505 181 232,214.77,472.41
EXSN150 / R SMF,Power Crank Truck EXS Series,150 1250 508 223 226,268.77,589.27
EXSN200 / R SMF,Power Crank Truck EXS Series,200 1400 513 263 237,325.34,703.79
EXSN94SMF SMF,Power Crank Truck EXS Series,94 1250 510 222 217,254.69,558.79
EFBEXSN150 / R SMF,Power Crank Truck EXS Series,150 1350 509 220 218,268.77,647.45
EFBEXSN200 / R SMF,Power Crank Truck EXS Series,200 1500 515 274 240,325.34,761.85
EFBEXSN94SMF,Power Crank Truck EXS Series,94 1350 509 220 218,268.77,647.45
65DSMF,Power Crank Truck EXS Series,65 820 155 296 190 192,138.51,299.66
78DSMF,Power Crank Truck EXS Series,78 750 135 264 180 183,143.10,309.33
78DTSMF,Power Crank Truck EXS Series,78 750 135 260 179 204,143.10,315.66
EFBNS40Z-K42R / NS40ZL-K42,Power Crank EFB Stop/Start Series,40 42 40 42 420 55 187 127 219,78.15,189.22
EFBNS60-N55R / NS60L-N55,Power Crank EFB Stop/Start Series,60 55 60 55 500 75 237 129 221,99.51,227.00
EFB55D23L-Q85 / 55D23R-Q85R,Power Crank EFB Stop/Start Series,55 23 85 55 23 85 700 120 231 173 219,135.21,292.54
EFBNS70L-S95 / NS70-S95R,Power Crank EFB Stop/Start Series,70 95 70 95 720 135 260 174 220,139.64,309.82
