make,model,variant,year,heavy_duty_part,extra_heavy_duty_part,premium_part,agm_efb_part,comments,reg_required,page,provenance,confidence
ABARTH,595,All variants,2014 onward,,,5344,,,,16,original-transcription,guide
ABARTH,695,All variants,2013 onward,,,5344,,,,16,original-transcription,guide
ABARTH,695C,All variants,2018 onward,,,5344,,,,16,original-transcription,guide
ALFA ROMEO,147,2.0L Petrol,2001 to 2005,,3552,,,,,16,original-transcription,guide
ALFA ROMEO,147,2.0L Petrol,2005 to 2011,,3552,,,,,16,original-transcription,guide
ALFA ROMEO,147,GTA 3.2L V6 Petrol,2003 to 2005,,3552,,,,,16,original-transcription,guide
ALFA ROMEO,147,Diesel,2005 to 2011,,3552,,,,,16,original-transcription,guide
ALFA ROMEO,156,2.0L Petrol,1999 to 2005,,3552,,,,,16,original-transcription,guide
ALFA ROMEO,156,2.0L Petrol,2005 to 2011,,3552,,,,,16,original-transcription,guide
ALFA ROMEO,156,GTA 3.2L V6 Petrol,2003 to 2005,,3552,,,,,16,original-transcription,guide
ALFA ROMEO,156,V6,1999 to 2006,,3552,,3662,,,16,original-transcription,guide
ALFA ROMEO,159,4 Cyl 1.7L TBi Petrol,2006 to 2012,,,3554,5526,Battery under fuse box. Can fit 3662.,,16,original-transcription,guide
ALFA ROMEO,159,4 Cyl 1.9L JTD Diesel,2006 to 2012,,,3554,5526,Battery under fuse box. Can fit 3662.,,16,original-transcription,guide
ALFA ROMEO,159,4 Cyl 2.2L JTS Petrol,2006 to 2012,,,3554,5526,Battery under fuse box. Can fit 3662.,,16,original-transcription,guide
ALFA ROMEO,159,4 Cyl 2.4L JTD Diesel,2006 to 2012,,,3554,5526,Battery under fuse box. Can fit 3662.,,16,original-transcription,guide
ALFA ROMEO,159,"V6, 3.2L Petrol",2006 to 2012,,,2502,5556,,,16,original-transcription,guide
ALFA ROMEO,164,All variants,1989 to 1992,,,2502,,,,16,original-transcription,guide
ALFA ROMEO,166,All variants,1999 to 2009,,,2502,5536,Battery in boot.,,16,original-transcription,guide
ALFA ROMEO,33,All variants,1984 to 1992,3372,,,,,,16,original-transcription,guide
ALFA ROMEO,4C,All variants,2015 onward,,,3554,5526,,,16,original-transcription,guide
ALFA ROMEO,75,2.0L Petrol,1986 to 1992,3372,,,,,,16,original-transcription,guide
ALFA ROMEO,75,"2.5L, 3.0L Petrol",1986 to 1992,,5344,,,,,16,original-transcription,guide
ALFA ROMEO,90,All variants,1985 to 1988,,3554,,,,,16,original-transcription,guide
ALFA ROMEO,ALFASUD,All variants,1974 to 1985,,3372,,,,,16,original-transcription,guide
ALFA ROMEO,ALFASUD,Sprint,1974 to 1985,,4503,,,,,16,original-transcription,guide
ALFA ROMEO,ALFETTA,All variants,1974 to 1985,,2501,2544,,,,16,original-transcription,guide
ALFA ROMEO,BERLINA,All variants,1966 to 1976,,2501,2541,5556,,,16,original-transcription,guide
ALFA ROMEO,BRERA,All variants,2006 to 2012,,,3772,5536,,,16,original-transcription,guide
ALFA ROMEO,GIULIA,All variants,1962 to 1974,,2501,2541,,,,16,original-transcription,guide
ALFA ROMEO,GIULIA,"Series 1, All variants",2017 to 2019,,,4044,,,,17,original-transcription,guide
ALFA ROMEO,GIULIA,"Series 2, V6, 2.9L, Petrol",2020 onward,,,3888,,OEM is EFB LN5; not currently in range; 3888 AGM can be fitted.,,17,original-transcription,guide
ALFA ROMEO,GIULIETTA,All variants,1980 to 1986,,3372,3554,,,,17,original-transcription,guide
ALFA ROMEO,GIULIETTA,1.4L Multiair Petrol,2010 onward,,,3552,5526,Stop Start; must use EFB.,,17,original-transcription,guide
ALFA ROMEO,GIULIETTA,1.7L Petrol,2010 onward,,,3552,5526,Stop Start; must use EFB.,,17,original-transcription,guide
ALFA ROMEO,GIULIETTA,2.0L Diesel,2010 onward,,,2544,4026,Stop Start; must use EFB.,,17,original-transcription,guide
ALFA ROMEO,GT,All variants,2004 to 2012,,,3552,5526,,,17,original-transcription,guide
ALFA ROMEO,GTV,2.0L 4 Cylinder,1981 to 1988,,4503,2543,5536,,,17,original-transcription,guide
ALFA ROMEO,GTV,2.5L 6 Cylinder,1981 to 1988,,4503,2543,5536,,,17,original-transcription,guide
ALFA ROMEO,GTV,3.0L 3.2L 6 Cylinder,1998 to 2004,,,3664,4026,,,17,original-transcription,guide
ALFA ROMEO,MITO,All variants,2009 to 2011,,,5344,4026,Stop Start variants must use EFB.,,17,original-transcription,guide
ALFA ROMEO,MITO,All variants,2011 onward,,,5344,4026,Stop Start variants must use EFB.,,17,original-transcription,guide
ALFA ROMEO,MONTREAL,All variants,1974 to 1976,,4503,2543,,,,17,original-transcription,guide
ALFA ROMEO,SPIDER,All variants,1966 to 1976,,3554,2544,5526,,,17,original-transcription,guide
ALFA ROMEO,SPIDER,All variants,1998 to 2006,,,3552,5526,,,17,original-transcription,guide
ALFA ROMEO,SPIDER,All variants,2006 to 2012,,,3772,5556,,,17,original-transcription,guide
ALFA ROMEO,SPRINT,All variants,1964 to 1967,,3372,3552,5556,,,17,original-transcription,guide
ALFA ROMEO,SPRINT,All variants,1982 to 1988,,3372,3552,5556,,,17,original-transcription,guide
ALFA ROMEO,STELVIO,All variants,2018 onward,,,,3888,Battery in boot.,,17,original-transcription,guide
ARMSTRONG SIDDELEY,All variants,,1960 onward,,4503,,,,,17,original-transcription,guide
ASIA,ROCSTA,All variants,1993 to 2000,,,2544,4026,,,17,original-transcription,guide
ASTON MARTIN,AM,All variants,1972 to 1973,,4703,2544,5526,,,17,original-transcription,guide
ASTON MARTIN,DB11,All variants,2016 onward,3888,5593,3888,,,,17,original-transcription,guide
ASTON MARTIN,DB4,All variants,1960 to 1963,,,4703,5593,,,18,original-transcription,guide
ASTON MARTIN,DB5,All variants,1963 to 1966,,,4703,5593,,,18,original-transcription,guide
ASTON MARTIN,DB6,All variants,1965 to 1970,,,4703,5593,,,18,original-transcription,guide
ASTON MARTIN,DB7,"3.2L, Petrol",1996 to 2000,,,3664,5536,,,18,original-transcription,guide
ASTON MARTIN,DB7,"5.9 Litre, Petrol",1999 to 2007,,,5593,,Difficult fitment. Refer to Workshop.,,18,original-transcription,guide
ASTON MARTIN,DB9,All variants,2005 onward,,4503,3884,5593,Difficult fitment. Refer to Workshop.,,18,original-transcription,guide
ASTON MARTIN,DBS,All variants,1967 to 1972,,4503,,5593,,,18,original-transcription,guide
ASTON MARTIN,DBS,All variants,2008 to 2013,,,3888,5593,Must use AGM.,,18,original-transcription,guide
ASTON MARTIN,LAGONDA,All variants,1981 to 1987,,,4703,5593,,,18,original-transcription,guide
ASTON MARTIN,RAPIDE,All variants,2011 onward,,,,5593,Must use AGM. Refer to Workshop.,,18,original-transcription,guide
ASTON MARTIN,RAPIDE,All variants,2014 onward,,,,3888,Must use AGM. Refer to Workshop.,,18,original-transcription,guide
ASTON MARTIN,V12 VANTAGE,All variants,1972 to 1987,,,4703,5593,,,18,original-transcription,guide
ASTON MARTIN,V12 VANTAGE,All variants,1997 to 2000,,,,3888,,,18,original-transcription,guide
ASTON MARTIN,V8,All variants,2006 onward,,,3882,5593,Some variants use AGM.,,18,original-transcription,guide
ASTON MARTIN,V8,Convertible,2006 onward,,,3882,5593,Some variants use AGM.,,18,original-transcription,guide
ASTON MARTIN,V8,Coupe,2013 to 2018,,,3884,3888,Some variants use AGM.,,18,original-transcription,guide
ASTON MARTIN,VANQUISH,Vanquish,2002 to 2007,,,3884,3888,Some variants use AGM.,,18,original-transcription,guide
ASTON MARTIN,VANQUISH,Vantage,2010 onward,,,3884,3888,Some variants use AGM.,,18,original-transcription,guide
