RACV July 2022 guide re-run — transcribed by Claude direct from Racv book 22 Drive photos (full-res, rotated)
Session date: 2026-07-14
Columns: make,model,variant,year,heavy_duty_part,extra_heavy_duty_part,premium_part,agm_efb_part,comments,reg_required,page
Multiple part options within one column are space-separated.

=== PAGE 142 ===
VOLKSWAGEN,GOLF,"AU, TDI, Diesel",2013 to 2017,,,,5536,"Stop Start, must use AGM.",Yes,142
VOLKSWAGEN,GOLF,"AU, TSI, Petrol",2013 to 2017,,,,4036,"Stop Start, must use EFB.",Yes,142
VOLKSWAGEN,GOLF,"AU, R, GTI, Petrol",2018 onward,,,,4036,"Stop Start, must use EFB.",Yes,142
VOLKSWAGEN,GOLF,"AU, TDI, Diesel",2018 onward,,,,4036,"Stop Start, must use EFB.",Yes,142
VOLKSWAGEN,GOLF,"AU, TSI, Petrol",2018 onward,,,,4036,"Stop Start, must use EFB.",Yes,142
VOLKSWAGEN,JETTA,"1K, 2.0L FSI, Petrol",2006 to 2009,,3664,,5536,,,142
VOLKSWAGEN,JETTA,"1K, 2.0L TDI, Diesel",2006 to 2009,,3554 3664,,5526 5536,,,142
VOLKSWAGEN,JETTA,"1K, TDI, Diesel",2009 to 2011,,3554 3664,,5526 5536,,Yes,142
VOLKSWAGEN,JETTA,"1K, TSI, Petrol",2009 to 2011,,3554,,5526,,Yes,142
VOLKSWAGEN,JETTA,"1K, TDI, Diesel",2011 onward,,3554 3664,,5526 5536,"Some fit 3554 only, some fit 3664 only.",Yes,142
VOLKSWAGEN,JETTA,"1K, TSI, Petrol",2011 onward,,3554,,5526,,Yes,142
VOLKSWAGEN,KARMANN,All variants,1960 to 1970,,3372,3552,,,,142
VOLKSWAGEN,KOMBI,All variants,1965 to 1969,6603,,,,,,142
VOLKSWAGEN,KOMBI,All variants,1970 to 1980,,2501 5375,2541,,,,142
VOLKSWAGEN,KOMBI,All variants,2003 to 2009,,,3884,3888,,,142
VOLKSWAGEN,MICRO,All variants,1970 to 1982,,,3552,,,,142
VOLKSWAGEN,MULTIVAN,"2.5L, Diesel",2003 to 2010,,3664,3772 3884,5536 5556,,,142
VOLKSWAGEN,MULTIVAN,"3.2L, Petrol",2003 to 2010,,3664,,5536,,,142
VOLKSWAGEN,MULTIVAN,"2.0L, Diesel",2010 onward,,3664,3884,3888,,,142
